filename,poke_name,number
slice_0.png,フシギダネ,1
slice_1.png,フシギソウ,2
slice_2.png,フシギバナ,3
slice_3.png,ヒトカゲ,4
slice_4.png,リザード,5
slice_5.png,リザードン,6
slice_6.png,ゼニガメ,7
slice_7.png,カメール,8
slice_8.png,カメックス,9
slice_22.png,アーボ,23
slice_23.png,アーボック,24
slice_24.png,ピカチュウ,25
slice_25.png,ピカチュウ,25
slice_26.png,ピカチュウ,25
slice_27.png,ピカチュウ,25
slice_28.png,ピカチュウ,25
slice_29.png,ピカチュウ,25
slice_30.png,ピカチュウ,25
slice_31.png,ピカチュウ,25
slice_32.png,ピカチュウ,25
slice_33.png,ライチュウ,26
slice_34.png,ライチュウ(アローラのすがた),26
slice_35.png,サンド,27
slice_36.png,サンド(アローラのすがた),27
slice_37.png,サンドパン,28
slice_38.png,サンドパン(アローラのすがた),28
slice_45.png,ピッピ,35
slice_46.png,ピクシー,36
slice_47.png,ロコン,37
slice_48.png,ロコン(アローラのすがた),37
slice_49.png,キュウコン,38
slice_50.png,キュウコン(アローラのすがた),38
slice_51.png,プリン,39
slice_52.png,プクリン,40
slice_55.png,ナゾノクサ,43
slice_56.png,クサイハナ,44
slice_57.png,ラフレシア,45
slice_60.png,コンパン,48
slice_61.png,モルフォン,49
slice_62.png,ディグダ,50
slice_63.png,ディグダ(アローラのすがた),50
slice_64.png,ダグトリオ,51
slice_65.png,ダグトリオ(アローラのすがた),51
slice_66.png,ニャース,52
slice_67.png,ニャース(アローラのすがた),52
slice_68.png,ニャース(ガラルのすがた),52
slice_69.png,ペルシアン,53
slice_70.png,ペルシアン(アローラのすがた),53
slice_71.png,コダック,54
slice_72.png,ゴルダック,55
slice_73.png,マンキー,56
slice_74.png,オコリザル,57
slice_75.png,ガーディ,58
slice_76.png,ガーディ(ヒスイのすがた),58
slice_77.png,ウインディ,59
slice_78.png,ウインディ(ヒスイのすがた),59
slice_79.png,ニョロモ,60
slice_80.png,ニョロゾ,61
slice_81.png,ニョロボン,62
slice_88.png,マダツボミ,69
slice_89.png,ウツドン,70
slice_90.png,ウツボット,71
slice_91.png,メノクラゲ,72
slice_92.png,ドククラゲ,73
slice_93.png,イシツブテ,74
slice_94.png,イシツブテ(アローラのすがた),74
slice_95.png,ゴローン,75
slice_96.png,ゴローン(アローラのすがた),75
slice_97.png,ゴローニャ,76
slice_98.png,ゴローニャ(アローラのすがた),76
slice_101.png,ヤドン,79
slice_102.png,ヤドン(ガラルのすがた),79
slice_103.png,ヤドラン,80
slice_104.png,ヤドラン(ガラルのすがた),80
slice_105.png,コイル,81
slice_106.png,レアコイル,82
slice_108.png,ドードー,84
slice_109.png,ドードリオ,85
slice_110.png,パウワウ,86
slice_111.png,ジュゴン,87
slice_112.png,ベトベター,88
slice_113.png,ベトベター(アローラのすがた),88
slice_114.png,ベトベトン,89
slice_115.png,ベトベトン(アローラのすがた),89
slice_116.png,シェルダー,90
slice_117.png,パルシェン,91
slice_118.png,ゴース,92
slice_119.png,ゴースト,93
slice_120.png,ゲンガー,94
slice_122.png,スリープ,96
slice_123.png,スリーパー,97
slice_126.png,ビリリダマ,100
slice_127.png,ビリリダマ(ヒスイのすがた),100
slice_128.png,マルマイン,101
slice_129.png,マルマイン(ヒスイのすがた),101
slice_130.png,タマタマ,102
slice_131.png,ナッシー,103
slice_132.png,ナッシー(アローラのすがた),103
slice_135.png,サワムラー,106
slice_136.png,エビワラー,107
slice_138.png,ドガース,109
slice_139.png,マタドガス,110
slice_140.png,マタドガス(ガラルのすがた),110
slice_141.png,サイホーン,111
slice_142.png,サイドン,112
slice_143.png,ラッキー,113
slice_146.png,タッツー,116
slice_147.png,シードラ,117
slice_153.png,ストライク,123
slice_155.png,エレブー,125
slice_156.png,ブーバー,126
slice_158.png,ケンタロス,128
slice_159.png,ケンタロス(パルデアのすがた単),128
slice_160.png,ケンタロス(パルデアのすがた炎),128
slice_161.png,ケンタロス(パルデアのすがた水),128
slice_162.png,コイキング,129
slice_163.png,ギャラドス,130
slice_164.png,ラプラス,131
slice_165.png,メタモン,132
slice_166.png,イーブイ,133
slice_167.png,シャワーズ,134
slice_168.png,サンダース,135
slice_169.png,ブースター,136
slice_170.png,ポリゴン,137
slice_176.png,カビゴン,143
slice_177.png,フリーザー,144
slice_178.png,フリーザー(ガラルのすがた),144
slice_179.png,サンダー,145
slice_180.png,サンダー(ガラルのすがた),145
slice_181.png,ファイヤー,146
slice_182.png,ファイヤー(ガラルのすがた),146
slice_183.png,ミニリュウ,147
slice_184.png,ハクリュー,148
slice_185.png,カイリュー,149
slice_186.png,ミュウツー,150
slice_188.png,チコリータ,152
slice_189.png,ベイリーフ,153
slice_190.png,メガニウム,154
slice_191.png,ヒノアラシ,155
slice_192.png,マグマラシ,156
slice_193.png,バクフーン,157
slice_194.png,バクフーン(ヒスイのすがた),157
slice_195.png,ワニノコ,158
slice_196.png,アリゲイツ,159
slice_197.png,オーダイル,160
slice_198.png,オタチ,161
slice_199.png,オオタチ,162
slice_200.png,ホーホー,163
slice_201.png,ヨルノズク,164
slice_204.png,イトマル,167
slice_205.png,アリアドス,168
slice_207.png,チョンチー,170
slice_208.png,ランターン,171
slice_209.png,ピチュー,172
slice_210.png,ピィ,173
slice_211.png,ププリン,174
slice_216.png,メリープ,179
slice_217.png,モココ,180
slice_218.png,デンリュウ,181
slice_219.png,キレイハナ,182
slice_220.png,マリル,183
slice_221.png,マリルリ,184
slice_222.png,ウソッキー,185
slice_223.png,ニョロトノ,186
slice_224.png,ハネッコ,187
slice_225.png,ポポッコ,188
slice_226.png,ワタッコ,189
slice_227.png,エイパム,190
slice_228.png,ヒマナッツ,191
slice_229.png,キマワリ,192
slice_230.png,ヤンヤンマ,193
slice_231.png,ウパー,194
slice_232.png,ウパー(パルデアのすがた),194
slice_233.png,ヌオー,195
slice_234.png,エーフィ,196
slice_235.png,ブラッキー,197
slice_236.png,ヤミカラス,198
slice_237.png,ヤドキング,199
slice_238.png,ヤドキング(ガラルのすがた),199
slice_239.png,ムウマ,200
slice_242.png,キリンリキ,203
slice_243.png,クヌギダマ,204
slice_244.png,フォレトス,205
slice_245.png,ノコッチ,206
slice_246.png,グライガー,207
